Date,Open,High,Low,Close,Volume,Adjustment
03-15-16,110.01,110.02,109.96,109.98,30750,
03-14-16,109.89,110.02,109.89,110.01,78998,
03-11-16,110.08,110.08,109.94,109.94,158684,
03-10-16,110.23,110.33,110.05,110.14,213800,
03-09-16,110.23,110.25,110.2,110.21,79762,
03-08-16,110.14,110.24,110.12,110.2,99209,
03-07-16,110.06,110.16,110.04,110.16,114488,
03-04-16,110.12,110.18,110.06,110.09,99576,
03-03-16,110.24,110.25,110.13,110.13,123326,
03-02-16,110.28,110.3,110.26,110.28,58240,
02-29-16,110.31,110.35,110.29,110.33,62250,
02-26-16,110.28,110.33,110.27,110.33,69911,
02-25-16,110.25,110.3,110.23,110.28,75945,
02-24-16,110.24,110.27,110.17,110.26,93083,
02-23-16,110.23,110.27,110.17,110.21,75377,
02-22-16,110.24,110.26,110.21,110.21,61418,
02-19-16,110.35,110.38,110.23,110.26,115970,
02-18-16,110.32,110.33,110.28,110.31,70146,
02-17-16,110.39,110.4,110.33,110.37,78158,
02-16-16,110.22,110.48,110.16,110.39,157828,
02-15-16,110.21,110.23,110.16,110.22,101980,
02-12-16,110.34,110.37,110.18,110.27,140133,
02-11-16,110.37,110.41,110.32,110.37,92235,
02-05-16,110.2,110.22,110.12,110.16,70778,
02-04-16,110.17,110.2,110.1,110.2,88021,
02-03-16,110.16,110.19,110.14,110.18,99176,
02-02-16,110.07,110.14,110.05,110.08,117241,
02-01-16,109.93,110.09,109.92,110.06,134527,
01-29-16,109.73,110.09,109.69,109.92,173157,
01-28-16,109.8,109.82,109.72,109.74,102369,
01-27-16,109.8,109.81,109.76,109.79,76231,
01-26-16,109.78,109.82,109.76,109.82,73647,
01-25-16,109.73,109.78,109.72,109.74,70850,
01-22-16,109.74,109.83,109.71,109.75,112743,
01-21-16,109.74,109.78,109.7,109.78,89428,
01-20-16,109.66,109.78,109.65,109.76,118512,
01-19-16,109.67,109.7,109.63,109.65,96200,
01-18-16,109.7,109.72,109.62,109.65,105935,
01-15-16,109.65,109.67,109.61,109.64,87297,
01-14-16,109.76,109.8,109.64,109.64,133941,
01-13-16,109.77,109.77,109.7,109.71,73058,
01-12-16,109.71,109.75,109.68,109.72,75654,
01-11-16,109.7,109.75,109.68,109.74,80863,
01-08-16,109.7,109.71,109.62,109.62,74064,
01-07-16,109.72,109.75,109.69,109.7,84285,
01-06-16,109.69,109.73,109.66,109.69,82210,
01-05-16,109.72,109.74,109.66,109.69,94480,
01-04-16,109.59,109.76,109.57,109.74,101920,
12-30-15,109.61,109.65,109.57,109.59,58098,
12-29-15,109.61,109.68,109.6,109.64,47792,
12-28-15,109.59,109.61,109.57,109.58,37587,
12-24-15,109.55,109.62,109.55,109.6,37420,
12-23-15,109.53,109.6,109.53,109.58,36829,
12-22-15,109.63,109.65,109.55,109.55,68439,
12-21-15,109.55,109.7,109.51,109.63,88519,
12-18-15,109.4,109.58,109.37,109.54,87009,
12-17-15,109.33,109.39,109.32,109.39,56319,
12-16-15,109.33,109.36,109.29,109.3,62905,
12-15-15,109.32,109.38,109.29,109.37,70699,
12-14-15,109.38,109.42,109.35,109.35,38647,
12-11-15,109.32,109.35,109.25,109.3,32177,
12-10-15,109.29,109.34,109.24,109.33,5776,
12-09-15,109.18,109.25,109.18,109.25,2912,
12-08-15,109.16,109.18,109.15,109.18,42,
12-04-15,109.05,109.05,109.05,109.05,1,
