Date,Open,High,Low,Close,Volume,Adjustment
09-15-15,109.58,109.59,109.53,109.6,27346,
09-14-15,109.64,109.65,109.58,109.57,49170,
09-11-15,109.66,109.68,109.55,109.64,129382,
09-10-15,109.6,109.68,109.59,109.67,77904,
09-09-15,109.56,109.61,109.55,109.56,85717,
09-08-15,109.65,109.67,109.55,109.6,112151,
09-07-15,109.66,109.73,109.65,109.65,86498,
09-04-15,109.6,109.71,109.58,109.68,83111,
09-03-15,109.52,109.62,109.51,109.58,85304,
09-02-15,109.5,109.55,109.48,109.53,77219,
09-01-15,109.4,109.45,109.39,109.45,61944,
08-31-15,109.43,109.47,109.41,109.42,51726,
08-28-15,109.47,109.48,109.43,109.45,53875,
08-27-15,109.4,109.49,109.39,109.49,79249,
08-26-15,109.5,109.54,109.43,109.45,95962,
08-25-15,109.54,109.54,109.47,109.49,76329,
08-24-15,109.48,109.57,109.46,109.56,63201,
08-21-15,109.51,109.53,109.41,109.48,104719,
08-20-15,109.42,109.46,109.4,109.47,59512,
08-19-15,109.4,109.46,109.37,109.37,71974,
08-18-15,109.42,109.48,109.39,109.42,61705,
08-17-15,109.36,109.42,109.32,109.41,67774,
08-13-15,109.43,109.45,109.32,109.38,128663,
08-12-15,109.4,109.5,109.35,109.47,110817,
08-11-15,109.26,109.42,109.25,109.36,99576,
08-10-15,109.22,109.29,109.19,109.29,81484,
08-07-15,109.2,109.2,109.13,109.19,58744,
08-06-15,109.1,109.19,109.09,109.16,87900,
08-05-15,109.13,109.16,109.09,109.14,103915,
08-04-15,109.3,109.32,109.21,109.2,57302,
08-03-15,109.25,109.29,109.24,109.26,59647,
07-31-15,109.31,109.36,109.19,109.21,73418,
07-30-15,109.38,109.39,109.31,109.33,51470,
07-29-15,109.33,109.38,109.32,109.4,55765,
07-28-15,109.47,109.48,109.31,109.35,92944,
07-27-15,109.42,109.46,109.39,109.43,65656,
07-24-15,109.4,109.47,109.38,109.41,86619,
07-23-15,109.26,109.42,109.26,109.38,95585,
07-22-15,109.22,109.26,109.18,109.26,52051,
07-21-15,109.14,109.2,109.13,109.19,59750,
07-20-15,109.12,109.17,109.09,109.15,53389,
07-17-15,109.09,109.12,109.07,109.12,27026,
07-16-15,109.09,109.13,109.06,109.09,60024,
07-15-15,109.09,109.11,109.04,109.09,40740,
07-14-15,109.02,109.07,109.01,109.07,48798,
07-13-15,108.99,109.03,108.95,109.04,76050,
07-10-15,109,109.04,108.99,109.02,56676,
07-09-15,109.13,109.19,109.06,109.06,97281,
07-08-15,109.03,109.12,109.02,109.1,79555,
07-07-15,109.02,109.07,109,109,68889,
07-06-15,109.02,109.04,108.95,109.01,83364,
07-03-15,108.99,109,108.91,108.93,78503,
07-02-15,108.98,109,108.91,108.91,73547,
07-01-15,109.05,109.07,108.99,109.02,74065,
06-30-15,109.09,109.12,109.07,109.06,50788,
06-29-15,109.13,109.17,109.08,109.09,60414,
06-26-15,109.01,109.05,108.97,108.99,65912,
06-25-15,109.03,109.06,108.96,108.99,111716,
06-24-15,108.96,109.02,108.92,109,100399,
06-23-15,108.97,109.06,108.97,109.01,104645,
06-22-15,109.15,109.15,108.99,109.04,94293,
06-19-15,109.08,109.19,109.08,109.12,87994,
06-18-15,109.07,109.11,109.05,109.07,69631,
06-17-15,109.12,109.13,108.98,108.99,89305,
06-16-15,109.2,109.21,109.07,109.13,83880,
06-15-15,109.22,109.25,109.15,109.16,30093,
06-12-15,109.03,109.19,109.03,109.16,12727,
06-11-15,108.71,109.41,108.71,108.96,912,
06-10-15,109.2,109.2,109.2,109.2,1,
04-17-15,109.51,109.56,109.51,109.56,2,
03-19-15,109.05,109.05,109.05,109.05,1,
