Date,Open,High,Low,Close,Volume,Adjustment
06-16-15,109.31,109.31,109.23,109.26,20486,
06-15-15,109.3,109.35,109.25,109.26,60582,
06-12-15,109.18,109.29,109.17,109.26,90143,
06-11-15,109.27,109.38,109.02,109.1,208014,
06-10-15,109.33,109.36,109.22,109.26,106981,
06-09-15,109.35,109.39,109.3,109.34,93829,
06-08-15,109.33,109.36,109.26,109.34,102963,
06-05-15,109.27,109.38,109.25,109.3,151486,
06-04-15,109.14,109.25,109.11,109.2,153891,
06-03-15,109.35,109.4,109.23,109.22,147993,
06-02-15,109.38,109.52,109.38,109.4,110728,
06-01-15,109.36,109.41,109.32,109.36,103503,
05-29-15,109.24,109.37,109.22,109.38,119003,
05-28-15,109.12,109.19,109.1,109.15,83964,
05-27-15,109.06,109.14,109.02,109.1,104001,
05-26-15,108.85,109.06,108.84,108.98,89804,
05-22-15,108.88,108.94,108.85,108.89,75030,
05-21-15,108.87,108.94,108.84,108.84,123027,
05-20-15,108.74,109.12,108.73,108.84,153275,
05-19-15,108.76,108.8,108.73,108.75,78641,
05-18-15,108.85,108.86,108.79,108.8,93847,
05-15-15,108.92,108.93,108.68,108.81,183995,
05-14-15,108.81,108.9,108.73,108.88,215518,
05-13-15,108.7,108.84,108.68,108.84,141144,
05-12-15,108.65,108.78,108.61,108.61,188861,
05-11-15,108.98,108.99,108.84,108.83,187533,
05-08-15,108.63,108.8,108.61,108.85,157120,
05-07-15,108.45,108.67,108.45,108.53,199107,
05-06-15,108.76,108.79,108.55,108.51,232691,
05-04-15,108.93,109,108.81,108.84,121299,
04-30-15,108.97,109.11,108.96,108.98,163142,
04-29-15,108.98,109.03,108.91,109.03,138563,
04-28-15,109.21,109.22,109.06,109.09,146589,
04-27-15,109.23,109.29,109.2,109.24,97880,
04-24-15,109.35,109.35,109.21,109.24,158935,
04-23-15,109.41,109.42,109.35,109.36,100481,
04-22-15,109.51,109.55,109.5,109.48,60625,
04-21-15,109.54,109.57,109.49,109.51,66025,
04-20-15,109.6,109.6,109.56,109.56,51402,
04-17-15,109.48,109.59,109.48,109.58,69742,
04-16-15,109.5,109.52,109.45,109.47,80046,
04-15-15,109.47,109.5,109.44,109.5,75818,
04-14-15,109.46,109.48,109.37,109.46,114172,
04-13-15,109.47,109.48,109.43,109.45,70659,
04-10-15,109.54,109.58,109.48,109.49,109872,
04-09-15,109.41,109.57,109.37,109.56,185088,
04-08-15,109.46,109.48,109.42,109.44,96309,
04-07-15,109.51,109.59,109.47,109.47,131477,
04-06-15,109.55,109.56,109.5,109.52,96484,
04-03-15,109.48,109.53,109.46,109.52,61040,
04-02-15,109.52,109.52,109.45,109.51,65394,
04-01-15,109.48,109.53,109.46,109.48,79971,
03-31-15,109.43,109.52,109.4,109.49,97280,
03-30-15,109.32,109.44,109.29,109.44,76967,
03-27-15,109.25,109.33,109.24,109.33,80172,
03-26-15,109.28,109.32,109.25,109.28,79691,
03-25-15,109.27,109.3,109.23,109.28,79765,
03-24-15,109.24,109.25,109.17,109.25,84386,
03-23-15,109.22,109.29,109.21,109.22,75468,
03-20-15,109.1,109.26,109.1,109.22,126982,
03-19-15,109.15,109.15,109.09,109.13,115407,
03-18-15,108.97,109.04,108.94,109.02,82193,
03-17-15,109.03,109.04,108.94,108.95,86688,
03-16-15,108.99,109.04,108.97,109,38351,
03-13-15,108.87,109.03,108.87,108.97,17070,
03-12-15,108.9,109.4,108.89,108.92,615,
03-06-15,108.71,108.75,108.71,108.75,2,
02-16-15,108.25,108.25,108.25,108.25,1,
02-12-15,108.7,108.7,108.35,108.35,2,
02-05-15,108.71,108.8,108.71,108.8,4,
01-12-15,108.32,108.45,108.32,108.45,2,
