Date,Open,High,Low,Close,Volume,Adjustment
08-18-16,111.07,111.09,111.06,111.07,18637,
08-17-16,111.04,111.08,111.02,111.04,71958,
08-16-16,111.05,111.1,111.04,111.09,37768,
08-12-16,111.02,111.07,111.02,111.06,39488,
08-11-16,111.13,111.15,111.04,111.05,93967,
08-10-16,111.08,111.14,111.06,111.1,65663,
08-09-16,111.03,111.04,111.01,111.04,41946,
08-08-16,111,111.12,110.99,111.01,100328,
08-05-16,111.1,111.12,111.08,111.09,46657,
08-04-16,111,111.07,110.98,111.05,81344,
08-03-16,111.09,111.09,110.99,111.01,103406,
08-02-16,111.15,111.19,111.11,111.11,63969,
08-01-16,111.18,111.19,111.15,111.16,48191,
07-29-16,111.18,111.2,111.1,111.14,82793,
07-28-16,111.18,111.19,111.15,111.18,51914,
07-27-16,111.08,111.12,111.07,111.11,65893,
07-26-16,111.08,111.13,111.07,111.1,54226,
07-25-16,111.11,111.11,111.07,111.08,44723,
07-22-16,111.09,111.1,111.06,111.09,48830,
07-21-16,111.08,111.09,111.05,111.06,54118,
07-20-16,111.11,111.13,111.08,111.11,53004,
07-19-16,111.1,111.15,111.07,111.09,80837,
07-18-16,111.09,111.11,111.07,111.08,49963,
07-15-16,111.12,111.14,111.08,111.12,76851,
07-14-16,111.16,111.22,111.1,111.16,129932,
07-13-16,111.04,111.16,111.03,111.13,100909,
07-12-16,111.08,111.12,111.07,111.11,76166,
07-11-16,111.14,111.18,111.12,111.13,65737,
07-08-16,111.13,111.18,111.09,111.12,79325,
07-07-16,111.14,111.16,111.12,111.15,64812,
07-06-16,111.16,111.2,111.13,111.16,96410,
07-05-16,111.11,111.15,111.08,111.09,99470,
07-04-16,111.1,111.14,111.08,111.09,74210,
07-01-16,111.08,111.13,111.02,111.13,103852,
06-30-16,110.99,111.04,110.97,111,88856,
06-29-16,111,111.05,110.98,111.05,105216,
06-28-16,111.12,111.14,110.95,110.99,125003,
06-27-16,111,111.15,111,111.04,117992,
06-24-16,110.71,111.23,110.67,110.98,209756,
06-23-16,110.64,110.7,110.61,110.7,66897,
06-22-16,110.64,110.66,110.62,110.64,53635,
06-21-16,110.61,110.68,110.6,110.68,77984,
06-20-16,110.67,110.69,110.62,110.62,37398,
06-17-16,110.73,110.74,110.69,110.72,19777,
06-16-16,110.73,110.79,110.73,110.77,9942,
06-15-16,110.69,110.71,110.69,110.7,880,
06-14-16,110.74,110.75,110.69,110.69,1555,
04-25-16,110.3,110.3,110.3,110.3,1,
04-15-16,110.15,110.15,110.15,110.15,1,
03-29-16,110.35,110.35,110.35,110.35,1,
03-18-16,110.35,110.35,110.35,110.35,1,
