Date,Open,High,Low,Close,Volume,Adjustment
12-15-15,109.38,109.39,109.35,109.35,19073,
12-14-15,109.41,109.45,109.39,109.4,46607,
12-11-15,109.39,109.4,109.3,109.35,91782,
12-10-15,109.39,109.4,109.3,109.4,87179,
12-09-15,109.3,109.35,109.29,109.33,68005,
12-08-15,109.22,109.31,109.22,109.31,64864,
12-07-15,109.19,109.21,109.16,109.17,54546,
12-04-15,109.11,109.18,109.11,109.18,61635,
12-03-15,109.21,109.27,109.2,109.26,57639,
12-02-15,109.29,109.3,109.22,109.22,46383,
12-01-15,109.21,109.32,109.18,109.22,118886,
11-30-15,109.21,109.24,109.18,109.24,63582,
11-27-15,109.24,109.26,109.17,109.17,70548,
11-26-15,109.23,109.24,109.19,109.23,52263,
11-25-15,109.22,109.25,109.2,109.24,50069,
11-24-15,109.28,109.29,109.22,109.22,65492,
11-23-15,109.25,109.29,109.24,109.25,78610,
11-20-15,109.34,109.36,109.25,109.25,86290,
11-19-15,109.27,109.34,109.24,109.34,95234,
11-18-15,109.25,109.27,109.23,109.25,62148,
11-17-15,109.21,109.28,109.21,109.22,72228,
11-16-15,109.31,109.31,109.24,109.25,91508,
11-13-15,109.16,109.21,109.12,109.15,88106,
11-12-15,109.06,109.2,109.05,109.13,141514,
11-11-15,109.18,109.18,109.03,109.1,112970,
11-10-15,109.12,109.18,109.09,109.17,118349,
11-09-15,109.2,109.22,109.07,109.07,141918,
11-06-15,109.47,109.47,109.34,109.34,104295,
11-05-15,109.51,109.52,109.46,109.47,93037,
11-04-15,109.55,109.56,109.47,109.51,106217,
11-03-15,109.59,109.61,109.55,109.57,90621,
11-02-15,109.62,109.64,109.58,109.61,63660,
10-30-15,109.56,109.62,109.54,109.61,111646,
10-29-15,109.65,109.71,109.64,109.67,89870,
10-28-15,109.73,109.8,109.69,109.72,102565,
10-27-15,109.68,109.72,109.67,109.71,63726,
10-26-15,109.6,109.66,109.6,109.66,58840,
10-23-15,109.58,109.63,109.55,109.63,74859,
10-22-15,109.67,109.68,109.59,109.6,72337,
10-21-15,109.62,109.66,109.59,109.64,90884,
10-20-15,109.75,109.77,109.65,109.66,77010,
10-19-15,109.72,109.75,109.66,109.74,81589,
10-16-15,109.71,109.75,109.69,109.74,64638,
10-15-15,109.64,109.78,109.63,109.74,139739,
10-14-15,109.68,109.69,109.57,109.6,123063,
10-13-15,109.63,109.7,109.62,109.66,110653,
10-12-15,109.72,109.72,109.63,109.63,72911,
10-08-15,109.75,109.78,109.69,109.77,114194,
10-07-15,109.85,109.85,109.75,109.76,91045,
10-06-15,109.86,109.88,109.84,109.85,76755,
10-05-15,109.92,109.92,109.85,109.91,87152,
10-02-15,109.85,109.86,109.8,109.85,60618,
10-01-15,109.9,109.92,109.8,109.82,113692,
09-30-15,109.81,109.95,109.81,109.94,92898,
09-25-15,109.7,109.76,109.67,109.75,63266,
09-24-15,109.74,109.77,109.68,109.7,63657,
09-23-15,109.76,109.77,109.71,109.75,80472,
09-22-15,109.7,109.73,109.67,109.74,78950,
09-21-15,109.7,109.77,109.68,109.74,68567,
09-18-15,109.57,109.67,109.57,109.65,91318,
09-17-15,109.46,109.54,109.43,109.46,105007,
09-16-15,109.5,109.52,109.46,109.5,60162,
09-15-15,109.5,109.59,109.44,109.56,90078,
09-14-15,109.58,109.58,109.51,109.5,27168,
09-11-15,109.58,109.62,109.49,109.55,33243,
09-10-15,109.5,109.61,109.5,109.58,1729,
09-09-15,109.52,109.52,109.52,109.52,200,
