Symbol,3KTB,C,ED,ES,FESX,FVS,MGC,MP,NG,PL,QG,QM,TY,VX,YC,YK
3KTB,1,1.72E-03,0.129094748,-0.082882461,-0.129210241,1.38E-01,0.127660948,-0.092661718,0.030915854,0.05788676,0.033134095,-0.022289594,0.145250066,1.28E-01,-0.000172033,-0.023509385
C,1.72E-03,1,0.01353204,0.168292209,0.199923845,-0.055274131,0.042226497,0.193449916,0.123485672,0.228794069,0.025407954,0.136630945,-0.103607498,-0.007686415,0.956388543,0.597599475
ED,0.129094748,0.01353204,1,-0.095915094,-0.035541509,0.25497212,0.267478586,0.01160127,-0.031592999,0.010327982,0.030839492,-0.18485209,0.481999535,0.023150735,-0.052392587,-0.07505373
ES,-0.082882461,0.168292209,-0.095915094,1,0.63274845,-0.493858059,-0.202004716,0.532203505,0.051622645,0.196321369,0.027437007,0.323125017,-0.357797274,-0.089367116,0.073538186,0.155001034
FESX,-0.129210241,0.199923845,-0.035541509,0.63274845,1,-0.827562567,-0.291436557,0.519093963,0.052891537,0.257158767,0.026733946,0.255757447,-0.351940147,-0.061634098,0.056392271,0.159408503
FVS,1.38E-01,-0.055274131,0.25497212,-0.493858059,-0.827562567,1,0.233730109,-0.328130549,0.019621534,-0.063894006,-0.013295151,-0.189299603,0.335559542,0.448243778,-0.041394061,-0.147042134
MGC,0.127660948,0.042226497,0.267478586,-0.202004716,-0.291436557,0.233730109,1,0.034004081,-0.003917341,0.676612823,-0.000965545,0.049422746,0.322056815,0.209287183,0.038414788,0.022215485
MP,-0.092661718,0.193449916,0.01160127,0.532203505,0.519093963,-0.328130549,0.034004081,1,0.091599628,0.272039595,0.127435312,0.485319325,-0.225993842,-0.053336481,0.122626073,0.24282606
NG,0.030915854,0.123485672,-0.031592999,0.051622645,0.052891537,0.019621534,-0.003917341,0.091599628,1,0.087687225,0.996565161,0.185482633,-0.023767463,0.000556392,0.028831384,0.082134022
PL,0.05788676,0.228794069,0.010327982,0.196321369,0.257158767,-0.063894006,0.676612823,0.272039595,0.087687225,1,0.040994902,0.229690367,-0.060917259,-0.005250037,0.090366301,0.152928262
QG,0.033134095,0.025407954,0.030839492,0.027437007,0.026733946,-0.013295151,-0.000965545,0.127435312,0.996565161,0.040994902,1,0.189890037,-0.00715988,-0.057978353,0.023049743,0.074718399
QM,-0.022289594,0.136630945,-0.18485209,0.323125017,0.255757447,-0.189299603,0.049422746,0.485319325,0.185482633,0.229690367,0.189890037,1,-0.266625432,-0.259770559,0.137935265,0.215128527
TY,0.145250066,-0.103607498,0.481999535,-0.357797274,-0.351940147,0.335559542,0.322056815,-0.225993842,-0.023767463,-0.060917259,-0.00715988,-0.266625432,1,0.04635865,-0.075288394,-0.125940157
VX,1.28E-01,-0.007686415,0.023150735,-0.089367116,-0.061634098,0.448243778,0.209287183,-0.053336481,0.000556392,-0.005250037,-0.057978353,-0.259770559,0.04635865,1,-0.047743935,-0.112381663
YC,-0.000172033,0.956388543,-0.052392587,0.073538186,0.056392271,-0.041394061,0.038414788,0.122626073,0.028831384,0.090366301,0.023049743,0.137935265,-0.075288394,-0.047743935,1,0.584847509
YK,-0.023509385,0.597599475,-0.07505373,0.155001034,0.159408503,-0.147042134,0.022215485,0.24282606,0.082134022,0.152928262,0.074718399,0.215128527,-0.125940157,-0.112381663,0.584847509,1
